"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2014","2,190.05","2,188.40","2,190.05","2,188.40","16.54K","0.08%"
"05/22/2014","2,188.40","2,188.40","2,188.40","2,188.40","14.10K","0.00%"
"05/21/2014","2,188.40","2,189.78","2,191.37","2,188.40","18.13K","-0.06%"
"05/20/2014","2,189.78","2,146.16","2,189.78","2,146.16","13.13K","2.03%"
"05/19/2014","2,146.16","2,185.75","2,189.15","2,140.17","33.24K","-1.81%"
"05/16/2014","2,185.75","2,185.75","2,185.75","2,185.75","44.07K","0.00%"
"05/15/2014","2,185.75","2,178.42","2,185.75","2,174.23","5.96K","0.34%"
"05/14/2014","2,178.42","2,176.03","2,178.42","2,176.03","0.35K","0.11%"
"05/13/2014","2,176.03","2,289.50","2,289.50","2,176.03","0.30K","-4.96%"
"05/12/2014","2,289.50","2,289.50","2,289.50","2,289.50","","0.00%"
"05/09/2014","2,289.50","2,285.31","2,289.50","2,285.31","12.01K","0.18%"
"05/08/2014","2,285.31","2,328.28","2,333.46","2,285.31","12.74K","-1.85%"
"05/07/2014","2,328.28","2,332.29","2,332.29","2,328.28","17.65K","-0.17%"
"05/06/2014","2,332.29","2,350.14","2,350.14","2,332.29","6.09K","-0.76%"
"05/05/2014","2,350.14","2,364.65","2,365.66","2,348.41","13.04K","-0.61%"
"05/02/2014","2,364.65","2,339.80","2,364.65","2,339.80","14.81K","1.06%"
"04/30/2014","2,339.80","2,334.04","2,339.80","2,327.55","43.95K","0.25%"
"04/29/2014","2,334.04","2,342.40","2,342.40","2,334.04","21.21K","-0.60%"
"04/28/2014","2,348.13","2,357.65","2,359.60","2,348.13","0.14K","-0.40%"
"04/25/2014","2,357.65","2,393.34","2,393.34","2,314.99","5.17K","-1.49%"
"04/24/2014","2,393.34","2,316.90","2,469.54","2,316.90","22.01K","3.30%"
"04/23/2014","2,316.90","2,456.51","2,470.71","2,315.91","7.35K","-5.68%"
"04/22/2014","2,456.51","2,472.45","2,472.45","2,456.02","9.91K","-0.64%"
"04/21/2014","2,472.45","2,472.45","2,472.45","2,472.45","0.31K","0.00%"
"04/16/2014","2,472.45","2,472.45","2,472.45","2,472.45","0.06K","0.00%"
"04/15/2014","2,472.45","2,456.02","2,472.45","2,456.02","0.82K","0.67%"
"04/14/2014","2,456.02","2,504.80","2,504.80","2,456.02","0.62K","-1.95%"
"04/11/2014","2,504.80","2,519.88","2,519.88","2,504.56","14.66K","-0.60%"
"04/10/2014","2,519.88","2,526.08","2,526.08","2,518.98","35.62K","-0.25%"
"04/09/2014","2,526.08","2,523.22","2,530.61","2,523.22","10.36K","0.11%"
"04/08/2014","2,523.22","2,521.50","2,551.63","2,521.50","2.75K","0.07%"
"04/07/2014","2,521.50","2,523.56","2,523.56","2,521.50","3.00K","-0.08%"
"04/04/2014","2,523.56","2,523.19","2,523.56","2,413.51","6.55K","0.01%"
"04/03/2014","2,523.19","2,523.19","2,524.28","2,523.19","0.21K","0.00%"
"04/02/2014","2,523.19","2,523.19","2,523.19","2,523.19","","0.00%"
"04/01/2014","2,523.19","2,523.11","2,579.93","2,523.11","39.21K","0.00%"
"03/31/2014","2,523.11","2,521.60","2,523.11","2,521.60","5.02K","0.06%"
"03/28/2014","2,521.60","2,573.57","2,608.26","2,521.60","0.29K","-2.02%"
"03/27/2014","2,573.57","2,501.19","2,573.57","2,501.19","0.24K","2.89%"
"03/26/2014","2,501.19","2,332.32","2,502.53","2,332.32","0.24K","7.24%"
"03/25/2014","2,332.32","2,332.32","2,332.32","2,332.32","","0.00%"
"03/24/2014","2,332.32","2,334.31","2,334.32","2,331.29","6.45K","-0.09%"
"03/21/2014","2,334.31","2,488.61","2,488.61","2,334.31","3.67K","-6.20%"
"03/20/2014","2,488.61","2,588.21","2,588.21","2,488.61","7.16K","-3.85%"
"03/18/2014","2,588.21","2,580.60","2,588.21","2,517.32","1.22K","0.29%"
"03/17/2014","2,580.60","2,637.48","2,637.48","2,516.80","36.92K","-2.16%"
"03/14/2014","2,637.48","2,639.33","2,639.33","2,636.05","1.34K","-0.07%"
"03/13/2014","2,639.33","2,650.37","2,674.98","2,639.33","5.68K","-0.42%"
"03/12/2014","2,650.37","2,642.39","2,650.37","2,642.25","92.16K","0.30%"
"03/11/2014","2,642.39","2,683.32","2,683.32","2,642.39","15.78K","-1.53%"
"03/10/2014","2,683.32","2,738.96","2,738.96","2,683.32","1.01K","-2.03%"
"03/07/2014","2,738.96","2,767.95","2,767.95","2,738.96","42.07K","-1.05%"
"03/06/2014","2,767.95","2,743.75","2,768.36","2,743.75","8.64K","0.88%"
"03/05/2014","2,743.75","2,768.28","2,771.06","2,738.72","1.60K","-0.89%"
"02/28/2014","2,768.28","2,718.11","2,768.28","2,718.11","138.62K","0.00%"
"02/27/2014","2,768.28","2,718.11","2,768.28","2,718.11","138.62K","0.00%"
"02/26/2014","2,768.28","2,718.11","2,768.28","2,718.11","138.62K","1.85%"
"02/25/2014","2,718.11","2,743.55","2,743.55","2,693.93","189.85K","-0.93%"
"02/24/2014","2,743.55","2,743.65","2,757.09","2,743.55","4.46K","0.00%"
"02/21/2014","2,743.65","2,759.98","2,759.98","2,743.65","0.67K","-0.59%"
"02/20/2014","2,759.98","2,759.98","2,759.98","2,759.98","6.12K","0.00%"
"02/19/2014","2,759.98","2,758.46","2,760.39","2,758.46","19.35K","0.06%"
"02/18/2014","2,758.46","2,758.87","2,758.87","2,758.46","9.27K","-0.01%"
"02/17/2014","2,758.87","2,758.46","2,758.87","2,758.46","1.86K","0.01%"
"02/14/2014","2,758.46","2,758.76","2,773.42","2,758.46","2.60K","-0.01%"
"02/13/2014","2,758.76","2,758.76","2,758.76","2,758.76","10.14K","0.00%"
"02/12/2014","2,758.84","2,773.26","2,775.17","2,758.84","5.38K","-0.52%"
"02/11/2014","2,773.26","2,782.00","2,782.00","2,772.98","10.87K","-0.31%"
"02/10/2014","2,782.00","2,779.02","2,782.30","2,774.92","36.72K","0.11%"
"02/07/2014","2,779.02","2,805.42","2,813.24","2,779.02","67.07K","-0.94%"
"02/06/2014","2,805.42","2,818.88","2,818.88","2,805.42","3.83K","-0.48%"
"02/05/2014","2,818.88","2,813.32","2,818.88","2,813.32","22.21K","0.20%"
"02/04/2014","2,813.32","2,819.34","2,820.91","2,732.67","26.61K","-0.21%"
"02/03/2014","2,819.34","2,827.91","2,827.91","2,819.34","5.53K","-0.30%"
"01/31/2014","2,827.91","2,798.44","2,829.54","2,798.44","1.07K","1.05%"
"01/30/2014","2,798.44","2,794.34","2,798.44","2,794.34","6.08K","0.05%"
"01/29/2014","2,796.98","2,817.01","2,817.01","2,782.80","25.59K","-0.71%"
